id;funcao;nome;cpf;idade;tipo_sangue;fator_rh;especialidade;codigo_cnmv;nivel_seguranca
1;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
2;Veterinario;Victor;1082777362;23;O+;+;Orelha de peixe;3424;
3;Tratador;Davis;292929;23;A;-;Pata de dromedario;;3
4;Tratador;Jose;7033;32;A;H;limpar;;1
5;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
6;Tratador;José Felipo;198192719-19;32;A;-;Felinos;;2
7;Veterinario;Arnaldo Barbosa Eloi de Souza;12.002.081-19;21;anos;a;sd;dasasd dasasd;
8;Tratador;Jose;7033;32;A;H;limpar;;1
9;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
10;Tratador;Jose;7033;32;A;H;limpar;;1
11;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
12;Tratador;Jose;7033;32;A;H;limpar;;1
13;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
14;Tratador;Jose;7033;32;A;H;limpar;;1
15;Veterinario;Arnaldo;7013411;21;A;H;cura;aa;
